"","codigo_ibge","nome","latitude","longitude","idh10","espvi10","fect10","mort10","estudo10","Renda"
"1",2300101,"Abaiara",-7.34588,-39.0416,0.628,69.87,2.54,26.9,9.7,5.42631472461139
"2",2300150,"Acarape",-4.22083,-38.7055,0.606,67.56,2.43,34.4,9.14,5.54541179201803
"3",2300200,"Acaraú",-2.88769,-40.1183,0.601,70.47,2.56,25.1,10.03,5.50732142470852
"4",2300309,"Acopiara",-6.08911,-39.448,0.595,68.41,2.33,31.5,9.94,5.57496376937955
"5",2300408,"Aiuaba",-6.57122,-40.1178,0.569,69.96,2.4,26.6,8.79,5.29511223559909
"6",2300507,"Alcântaras",-3.58537,-40.5479,0.6,70.07,2.15,26.3,9.43,5.49474726434382
"7",2300606,"Altaneira",-6.99837,-39.7356,0.602,71.41,2.17,22.5,10.36,5.46911443749004
"8",2300705,"Alto Santo",-5.50894,-38.2743,0.601,71.44,2.3,22.4,9.12,5.57169765428896
"9",2300754,"Amontada",-3.36017,-39.8288,0.606,70.63,2.83,24.6,10.25,5.20114545479576
"10",2300804,"Antonina do Norte",-6.76919,-39.987,0.599,71.32,1.83,22.7,9.39,5.48267850863976
"11",2300903,"Apuiarés",-3.94506,-39.4359,0.618,69.44,2.38,28.2,10.63,5.4014153245516
"12",2301000,"Aquiraz",-3.89929,-38.3896,0.641,72.27,2.11,20.2,9.05,5.84209409045371
"13",2301109,"Aracati",-4.55826,-37.7679,0.655,69.52,1.88,27.9,10.39,5.83944908607773
"14",2301208,"Aracoiaba",-4.36872,-38.8125,0.615,70.56,2.25,24.8,9.46,5.48113879838364
"15",2301257,"Ararendá",-4.74567,-40.831,0.59,70.76,2.4,24.3,9.77,5.2979172865267
"16",2301307,"Araripe",-7.21319,-40.1359,0.564,70.54,2.31,24.9,9.12,5.26362239675115
"17",2301406,"Aratuba",-4.41229,-39.0471,0.622,71.49,2.38,22.3,9.98,5.37500059131899
"18",2301505,"Arneiroz",-6.3165,-40.1653,0.618,69.41,2.14,28.3,9.7,5.59723607092581
"19",2301604,"Assaré",-6.8669,-39.8689,0.6,71.95,2.04,21,9.61,5.62931033363694
"20",2301703,"Aurora",-6.93349,-38.9742,0.605,70.81,1.99,24.1,9.1,5.5307773844996
"21",2301802,"Baixio",-6.71945,-38.7134,0.627,70.77,2.1,24.2,9.41,5.57893705899931
"22",2301851,"Banabuiú",-5.30454,-38.9132,0.606,71.71,2.68,21.7,9.97,5.41654474791269
"23",2301901,"Barbalha",-7.2982,-39.3021,0.683,74.02,2.01,16,10.4,5.89062158967842
"24",2301950,"Barreira",-4.28921,-38.6429,0.616,71.25,2.42,22.9,9.57,5.48806958083252
"25",2302008,"Barro",-7.17188,-38.7741,0.599,70.49,2.15,25,9.67,5.51945891519157
"26",2302057,"Barroquinha",-3.02051,-41.1358,0.571,68.2,2.74,32.2,10.22,5.25311077370996
"27",2302107,"Baturité",-4.32598,-38.8812,0.619,70.2,2.12,25.9,10.13,5.6346824545719
"28",2302206,"Beberibe",-4.17741,-38.1271,0.638,71.67,2.05,21.8,10.02,5.70877001616724
"29",2302305,"Bela Cruz",-3.04996,-40.1671,0.623,70.57,2.32,24.8,10.31,5.3918532459392
"30",2302404,"Boa Viagem",-5.11258,-39.7337,0.598,71.09,2.47,23.3,8.87,5.50813248765091
"31",2302503,"Brejo Santo",-7.48469,-38.9799,0.647,71.06,1.77,23.4,9.02,5.76468940955972
"32",2302602,"Camocim",-2.9005,-40.8544,0.62,68.71,2.33,30.5,9.95,5.55864108898653
"33",2302701,"Campos Sales",-7.06761,-40.3687,0.63,71.11,2.19,23.3,10.57,5.70401578077155
"34",2302800,"Canindé",-4.35162,-39.3155,0.612,70.88,2.24,23.9,9.15,5.58810971080918
"35",2302909,"Capistrano",-4.45569,-38.9048,0.611,68.82,2.11,30.2,10.31,5.31167771824987
"36",2303006,"Caridade",-4.22514,-39.1912,0.592,71.74,2.29,21.6,8.18,5.30792110269073
"37",2303105,"Cariré",-3.94858,-40.476,0.596,69.92,2.35,26.7,10.09,5.41052935715496
"38",2303204,"Caririaçu",-7.02808,-39.2828,0.578,68.81,2.33,30.2,9.66,5.4868280643678
"39",2303303,"Cariús",-6.52428,-39.4916,0.597,70.07,2.46,26.3,9.71,5.46945157770141
"40",2303402,"Carnaubal",-4.15985,-40.9413,0.593,70.58,2.39,24.8,10.32,5.39716673059021
